task_id,group,winner,dehb_beat_floor,ezr_beat_floor,n_decisions,rows,objective,coverage,x_dup_rate,med_ezr,med_dehb,R,I,drr,drr_commit,drr_dirty
process__pom3a,process,tie,True,False,9,20000,multi,-114.3,0.0,0.12954865605040863,0.13234259338111312,9.0,5.0,0.4444444444444444,defce44,True
process__pom3b,process,tie,False,True,9,20000,multi,-114.3,0.0,0.1340248085513121,0.13316421139053464,9.0,5.0,0.4444444444444444,defce44,True
process__pom3c,process,dehb,True,True,9,20000,multi,-114.3,0.0,0.28691072460389233,0.2747901162609291,9.0,5.0,0.4444444444444444,defce44,True
process__pom3d,process,ezr,True,True,9,500,multi,-71.73,0.0,0.12328557738651921,0.1396711872233385,9.0,5.0,0.4444444444444444,defce44,True
process__xomo_flight,process,dehb,True,True,24,10000,multi,-239.16,0.0,0.05198052410764159,0.017514260957634552,24.0,9.0,0.625,defce44,True
process__xomo_ground,process,dehb,True,True,24,10000,multi,-239.36,0.0,0.08006088999502056,0.02395931265869513,24.0,9.0,0.625,defce44,True
process__xomo_osp,process,dehb,True,True,24,10000,multi,-239.31,0.0,0.059280706148302886,0.021455916342161128,24.0,9.0,0.625,defce44,True
process__xomo_osp2,process,dehb,True,True,24,10000,multi,-193.44,0.0,0.15919244122433732,0.12794627964970107,24.0,8.0,0.6666666666666667,defce44,True
rl__A2C_Acrobot,rl,dehb,True,False,10,223,multi,-42.06,0.0,0.4319249800681638,0.38098620700031094,10.0,4.0,0.6,defce44,True
rl__A2C_CartPole,rl,dehb,True,True,7,317,multi,-36.5,0.0,0.506136923180253,0.2481687371887396,7.0,4.0,0.4285714285714286,defce44,True
sales_data__Marketing_Analytics,sales_data,dehb,True,False,31,2205,multi,-101.35,0.0921,0.5884573979452261,0.4496530674168839,31.0,2.0,0.935483870967742,defce44,True
sales_data__accessories,sales_data,dehb,False,True,14,1121,multi,-48.1,0.0,0.6427475660314451,0.19398480880829222,14.0,2.0,0.8571428571428572,defce44,True
sales_data__dress-up,sales_data,dehb,True,True,20,913,multi,-66.48,0.0,0.7048280862398852,0.3114409143613995,20.0,3.0,0.85,defce44,True
sales_data__socks,sales_data,dehb,False,True,20,350,single,-4.25,0.0,0.0,0.0,20.0,15.0,0.25,defce44,True
sales_data__wallpaper,sales_data,dehb,True,False,22,247,multi,-73.97,0.0,0.7164333303866678,0.40282240111698364,22.0,3.0,0.8636363636363636,defce44,True
systems__7z,systems,dehb,False,False,14,68640,single,-2.68,0.0,0.011747229042800032,1.3264246338180552e-05,14.0,3.0,0.7857142857142857,defce44,True
systems__BDBC,systems,tie,False,False,16,2560,single,-4.68,0.0,0.00043309140556509315,5.139607704391823e-05,16.0,5.0,0.6875,defce44,True
systems__HSQLDB,systems,tie,False,False,18,864,single,-5.25,0.0,0.001874999999999966,0.0009338235294117302,18.0,4.0,0.7777777777777778,defce44,True
systems__LLVM,systems,dehb,False,True,10,1024,single,0.0,0.0,0.032539141243399204,0.017971360507902472,10.0,5.0,0.5,defce44,True
systems__PostgreSQL,systems,tie,False,False,9,19008,single,0.0,0.9545,0.01985569345374266,0.01968833907126948,9.0,2.0,0.7777777777777778,defce44,True
systems__dconvert,systems,dehb,False,False,18,6764,single,-7.1,0.7176,0.015247475303330454,0.008476630713918888,18.0,2.0,0.8888888888888888,defce44,True
systems__deeparch,systems,dehb,False,False,12,4096,single,0.0,0.0,0.0010699501429008932,1.0154716164804895e-05,12.0,6.0,0.5,defce44,True
systems__exastencils,systems,dehb,False,False,12,86058,single,-2.93,0.0,0.04041777848580202,0.0006499661475965341,12.0,2.0,0.8333333333333334,defce44,True
systems__javagc,systems,dehb,False,False,35,166975,single,-82.48,0.0151,0.0006671187377171668,0.0003872428061054708,35.0,2.0,0.9428571428571428,defce44,True
systems__redis,systems,ezr,True,False,9,4400,single,-43.08,0.283,0.3366017414483977,0.41153606347245264,9.0,4.0,0.5555555555555556,defce44,True
systems__storm,systems,tie,False,False,12,1557,single,-1.4,0.0,0.00011274023174472831,1.9827246940449004e-05,12.0,6.0,0.5,defce44,True
systems__x264,systems,dehb,False,False,17,53662,single,-73.38,0.0263,0.1724593379940078,0.13158724497075186,17.0,3.0,0.8235294117647058,defce44,True
test__dataset120,test,ezr,True,False,9,4852,single,-86.13,0.007,0.08750000000000002,0.16499999999999992,9.0,1.0,0.8888888888888888,defce44,True
test__dataset600,test,ezr,False,True,9,4845,single,-86.92,0.0083,0.022499999999999964,0.16749999999999998,9.0,1.0,0.8888888888888888,defce44,True
