dataset,domain,n_rows,n_x,n_y,n_pairs,x_var_mean,x_var_std,x_var_min,x_var_max,corr_mean,corr_std,corr_min,corr_max,y_var_mean,y_var_std,y_var_min,y_var_max,performance_rmse,ezr_stability_agreement,stability_jaccard_mean,stability_jaccard_min,stability_jaccard_max
wc+rs-3d-c4-obj1,config,196,3,1,3,0.706671198738667,0.029675649631375537,0.6814499137046486,0.7483314773547883,1.4395088444819186e-16,8.784405791793081e-17,4.0990264312798284e-17,2.5563252999305695e-16,0.38939456326426386,0.0,0.38939456326426386,0.38939456326426386,0.55,36.0,0.7982,0.3333,1.0
wc+sol-3d-c4-obj1,config,196,3,1,3,0.706671198738667,0.029675649631375537,0.6814499137046486,0.7483314773547883,1.4395088444819186e-16,8.784405791793081e-17,4.0990264312798284e-17,2.5563252999305695e-16,0.3862195235765533,0.0,0.3862195235765533,0.3862195235765533,0.32,35.0,0.9667,0.6667,1.0
wc+wc-3d-c4-obj1,config,196,3,1,3,0.706671198738667,0.029675649631375537,0.6814499137046486,0.7483314773547883,1.4395088444819186e-16,8.784405791793081e-17,4.0990264312798284e-17,2.5563252999305695e-16,0.36374339938631844,0.0,0.36374339938631844,0.36374339938631844,0.55,41.0,0.793,0.3333,1.0
wc-6d-c1-obj1,config,2880,6,1,15,0.8195314873468962,0.09836319498952911,0.7323162551877481,1.0,1.7392379403135773e-16,2.5397151117196315e-16,2.6105627253863537e-18,1.0518847422612518e-15,0.42329820789104317,0.0,0.42329820789104317,0.42329820789104317,0.77,4.0,0.5572,0.1667,1.0
BankChurners,financial_data,10127,19,4,171,0.5515830492301714,0.2512761237742118,0.1290526618049596,0.9966172572679688,0.09280152227676865,0.1733393812040004,0.0002659599938485139,0.9999999999689452,0.4630109188676917,0.1985574976948172,0.12820373507101337,0.6475543074314776,25.85,30.0,0.2967,0.0909,0.8
Loan,financial_data,20000,31,5,465,0.40464182424125467,0.29091872652370193,0.06604194017502259,1.0,0.0934246658573271,0.256392295392302,1.0409417383229881e-05,1.0,0.28589775830079833,0.11700531208491842,0.14831805860385278,0.45674519127527374,30.87,0.0,0.2283,0.0,0.7143
WA_Fn-UseC_-Telco-Customer-Churn,financial_data,7043,19,2,171,0.9007884912111207,0.1490829490419554,0.34982785307648223,1.0,0.3430374110075931,0.30870238489442403,0.0009073521208289377,1.0,0.56072993055504,0.038034464568084014,0.5226954659869559,0.598764395123124,1.43,2.0,0.574,0.2222,1.0
home_data_for_ml_course,financial_data,1460,77,4,2926,0.38492626111809075,0.2679765954860637,0.002737849502721268,0.9989133674434947,0.17129463540467116,0.1745198521971162,1.930228313177516e-12,0.9907747707103576,0.31086813893199394,0.0795222209517714,0.22056739865592973,0.43757331609405,38.5,0.0,0.1566,0.0,0.5556
Data_COVID19_Indonesia,health_data,21759,35,3,595,0.3637667690044679,0.3535425947654845,0.0,0.9999909782220183,0.4192527190381374,0.3585559042695452,5.699500269786876e-05,1.0000000000000242,0.25552609925857,0.10731641305289209,0.10375777247216159,0.3314122995330963,14.94,43.0,0.2626,0.0909,0.8
Life_Expectancy_Data,health_data,2938,20,2,190,0.5432832781767414,0.30352807665010023,0.08317180225251782,0.9997515558378951,0.42206932916217027,0.2885774841517648,0.0013827196446054217,1.0,0.3736905454087449,0.05834506783145413,0.3153454775772908,0.43203561324019907,6.74,0.0,0.2663,0.0,0.7143
