task,n_rows,n_x,n_y,sym_ratio,missing_density,eff_rank_x,cca_1,linear_r2,y_corr_mean,fdc,smoothness,d2h_var,d2h_skew,d2h_tail_gap,nb_auc_med,nb_auc_iqr,landmark_10_med,landmark_10_iqr,labels_used_total
Health-ClosedIssues0004,10000,5,3,0.2,0.0,5.882224344557488,0.7613891517999767,0.31121850780394367,-0.3405786386223677,-0.26492132498514115,0.18523827579399063,0.019576807023058248,1.0643828699958389,0.40230303541453494,0.48055344237352604,0.16446367440091286,17.5,6.0,46
Health-ClosedIssues0005,10000,5,3,0.2,0.0,5.882224344557488,0.929095416043305,0.8690752107711148,-0.2849257715519002,-0.13214938483371835,0.42031183231183233,0.04394789667421785,-0.478494689168575,0.9479510704803132,0.7845663750475467,0.09635317611259031,75.0,2.0,46
Health-ClosedIssues0006,10000,5,3,0.2,0.0,5.882224344557488,0.7121747195646478,0.4200861947751607,-0.3034071247355201,-0.146373052238336,0.17595495195495198,0.0627313038560232,0.5716227605972279,0.5795693921901817,0.7961677443895017,0.09618676302776707,100.0,0.0,46
Health-ClosedIssues0007,10000,5,3,0.2,0.0,5.882224344557488,0.892051051063611,0.49657255981663395,-0.07897128606150633,0.42903408664683973,0.35857278072421744,0.005977858302983474,1.55832854284146,1.0078128758354057,0.8139501711677444,0.09069513122860395,40.0,28.5,46
Health-ClosedIssues0008,10000,5,3,0.2,0.0,5.882224344557488,0.6335533310459236,0.34233589080296345,-0.3447641538830987,0.16445297727663055,0.13096913414785635,0.04628559292465232,-0.3973523706093593,0.9531530024163127,0.8643495625713199,0.12923164701407375,81.0,50.75,46
Health-ClosedIssues0009,10000,5,3,0.2,0.0,5.882224344557488,0.7066843079638102,0.13658376860283528,-0.093224334466686,-0.005885217710535351,0.027162291162291165,0.008208413295926888,1.9442659564238836,0.43396805283910467,0.6538132369722327,0.1661040319513123,21.5,25.5,46
Health-ClosedIssues0010,10000,5,3,0.2,0.0,5.882224344557488,0.6462157669885628,0.5127480799523868,-0.012438411992959086,-0.3714489756602871,0.21746601746601749,0.012969794938932074,-0.02309066819568371,1.000306151292706,0.7607455306200077,0.13985831114492198,66.5,6.75,46
Health-ClosedIssues0011,10000,5,3,0.2,0.0,5.882224344557488,0.9932695881959975,0.7741977668512574,-0.35458183460832154,0.5489221305101738,0.3500887971898775,0.07532637195845959,-1.2294571050054044,3.236471354367925,0.8135697984024344,0.0783805629516926,100.0,0.0,46
Health-ClosedPRs0000,10000,5,2,0.2,0.0,5.882224344557488,1.0,0.9999998593938448,-1.0,0.36126814274852026,0.46428537696269784,0.10461242451890371,0.7063114351322867,0.0,0.624429440852035,0.0755277672118676,100.0,0.0,46
Health-ClosedPRs0002,10000,5,3,0.2,0.0,5.882224344557488,0.9980013217813072,0.9931168416773655,-0.33163568345440003,-0.28986161086503465,0.4578893746220559,0.06865695352105997,-0.7177587724489158,0.9975263435426971,0.7935526816279954,0.14190281475846334,86.0,0.0,46
Health-ClosedPRs0003,10000,5,3,0.2,0.0,5.882224344557488,0.9983299771168037,0.9950173920255233,-0.3332286750766934,0.6274495031241231,0.4605307774375947,0.09832776113907425,-0.7123652277025037,0.9858427156764215,0.8162799543552681,0.14199790794979084,100.0,0.0,46
Health-ClosedPRs0004,10000,5,3,0.2,0.0,5.882224344557488,0.9881101272892112,0.8571524493776137,-0.42497711582803294,0.5548891415859648,0.4166472066425483,0.03710622427524923,-1.2235633905172207,0.9795778557427581,0.8062000760745531,0.13168029669075687,100.0,12.75,46
Health-ClosedPRs0005,10000,5,3,0.2,0.0,5.882224344557488,0.9896974552262091,0.9297479189499185,-0.3382694773005011,0.6129100867111932,0.46988058737781996,0.09708607234118598,-0.82947668631901,0.9947836604413578,0.8098136173449981,0.18129516926588063,100.0,0.0,46
Health-ClosedPRs0006,10000,5,3,0.2,0.0,5.882224344557488,0.9758529663459043,0.5968173913567234,-0.2291487817294385,0.5406050889606692,0.3413841167947072,0.014148789069491472,-0.3880279679575931,0.9371576360858023,0.7522346899961962,0.09483168505135031,26.5,79.0,46
Health-ClosedPRs0007,10000,5,3,0.2,0.0,5.882224344557488,0.9714731278869881,0.5169860057834768,-0.32550954611130717,0.5339263118259943,0.3060600753142846,0.034503869364300714,-2.0799414651058465,5.004429064263177,0.8347280334728033,0.10079878280715104,100.0,0.0,46
Health-ClosedPRs0008,10000,5,3,0.2,0.0,5.882224344557488,0.9575867183291066,0.6653124330733446,-0.095041200775253,-0.38402798468508814,0.3679599408810961,0.0017708143927420046,0.0706332555033923,0.07794279208877966,0.5478318752377329,0.19969570178775198,3.5,3.0,46
Health-ClosedPRs0009,10000,5,3,0.2,0.0,5.882224344557488,0.7697717220916537,0.6186968128729754,-0.14279777512724331,-0.16392577508714176,0.24229575865284272,0.022330669994649287,-1.2411464359790705,2.122474461134738,0.7243723849372385,0.1530524914416127,60.5,1.5,46
Health-ClosedPRs0010,10000,5,3,0.2,0.0,5.882224344557488,0.8294516546412378,0.6869866762803974,-0.3315486827872716,-0.10213374419278926,0.32041440937565263,0.01219350742470077,-0.6600235765204883,0.9292372960673573,0.6605173069608217,0.12164796500570563,37.0,8.5,46
Health-ClosedPRs0011,10000,5,3,0.2,0.0,5.882224344557488,0.9978165929405222,0.9922992665783397,-0.3351613867968513,0.6481630952733026,0.4567865435297571,0.08503352608370694,-0.7213411953876863,0.9977347140806304,0.8162799543552681,0.1350798782807151,100.0,0.0,46
Health-Commits0000,10000,5,3,0.2,0.0,5.882224344557488,0.8353209986086443,0.6994918881800007,-0.3297991609009405,0.3427455419054022,0.222928780272712,0.09012294981807731,-0.8127667793903844,1.1900871815475318,0.898820844427539,0.061810574362875514,100.0,0.0,46
Health-Commits0001,10000,5,3,0.2,0.0,5.882224344557488,0.9902898682088064,0.9720550945268627,-0.3351046363835704,0.6008134737299662,0.4539474738541314,0.10149049113383338,-0.7548840227345035,0.9833653355191279,0.807151007987828,0.15091289463674395,100.0,0.0,46
Health-Commits0002,10000,5,3,0.2,0.0,5.882224344557488,0.9979211223413763,0.8753493631373267,-0.3379819756635786,-0.2514244242418712,0.45836456461750197,0.007619016423982504,-1.1217533714772652,0.991350854479237,0.7848041080258654,0.13424781285659948,28.0,0.0,46
Health-Commits0003,10000,5,3,0.2,0.0,5.882224344557488,0.834417862772508,0.6492833714065911,-0.4071561961724117,0.4373599504062023,0.21260820860820862,0.034581007885111606,-0.6696089657767884,2.260306091639731,0.7784328642069227,0.1610403195131228,70.0,25.5,46
Health-Commits0004,10000,5,3,0.2,0.0,5.882224344557488,0.7822650606787125,0.6206507616611943,-0.3365377557561619,0.19003694721800107,0.20862815262815262,0.04332588116202253,1.3227205985571597,0.22487008060854197,0.8042031190566755,0.12768638265500187,16.5,8.5,46
