task_id,dir,budget,winner,objective,input_shape,rows,n_decisions,coverage,x_dup_rate,smac_on_table,drr,R,I,drr_spread
hpo__Health-Commits0009,hpo,30,ezr,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-Commits0010,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
hpo__Health-Commits0011,hpo,30,tie,multi,small-numeric,10000,5,-6.62,0.0,0.0,0.5202820372809727,5,2.3985898135951365,0.007958505556909
misc__Car_price_cleaned,misc,30,ezr,multi,large-numeric,205,38,-189.74,0.0,0.0,0.9740053369745996,38,0.9877971949652112,
misc__Wine_quality,misc,30,ezr,multi,large-numeric,1599,10,-58.33,0.1526,0.0,0.7738004248877701,10,2.2619957511222992,
misc__auto93,misc,30,tie,multi,small-numeric,398,4,-5.39,0.2312,0.0,0.7370341530695684,4,1.0518633877217265,
process__coc1000,process,30,ezr,multi,large-numeric,1000,20,-36.76,0.0,0.0,0.5486641703636729,20,9.026716592726542,
process__nasa93dem,process,30,smac,multi,small-numeric,93,22,-18.88,0.4086,0.0,0.9001026330701045,22,2.197742072457701,
process__pom3a,process,30,ezr,multi,large-numeric,20000,9,-114.3,0.0,0.0,0.2784377980644154,9,6.494059817420261,0.0123033847235766
process__pom3b,process,30,ezr,multi,large-numeric,20000,9,-114.3,0.0,0.0,0.2874987732135042,9,6.412511041078462,0.0140551295528946
process__pom3c,process,30,ezr,multi,large-numeric,20000,9,-114.3,0.0,0.0,0.2825351154297395,9,6.457183961132344,0.0148951378405104
process__pom3d,process,30,ezr,multi,large-numeric,500,9,-71.73,0.0,0.0,0.356154800656331,9,5.7946067940930215,
process__xomo_flight,process,30,tie,multi,large-numeric,10000,24,-239.16,0.0,0.0,0.8965216273590202,24,2.4834809433835168,0.0038060713188923
process__xomo_ground,process,30,tie,multi,large-numeric,10000,24,-239.36,0.0,0.0,0.8892164517314335,24,2.6588051584455967,0.0022122935372372
process__xomo_osp,process,30,tie,multi,large-numeric,10000,24,-239.31,0.0,0.0,0.886632816823798,24,2.720812396228848,0.0053089929928366
process__xomo_osp2,process,30,ezr,multi,large-numeric,10000,24,-193.44,0.0,0.0,0.8024959957044658,24,4.740096103092819,0.0082621659349857
rl__A2C_Acrobot,rl,30,tie,multi,large-numeric,223,10,-42.06,0.0,0.0,0.9015272491414914,10,0.9847275085850864,
rl__A2C_CartPole,rl,30,ezr,multi,large-numeric,317,7,-36.5,0.0,0.0,0.7178022634147327,7,1.975384156096871,
sales_data__Marketing_Analytics,sales_data,30,smac,multi,large-numeric,2205,31,-101.35,0.0921,0.0,0.9493300843985564,31,1.5707673836447529,
sales_data__accessories,sales_data,30,smac,multi,large-numeric,1121,14,-48.1,0.0,0.0,0.914878702289924,14,1.1916981679410643,
sales_data__dress-up,sales_data,30,smac,multi,large-numeric,882,20,-59.37,0.0,0.0,0.9353670938398696,20,1.2926581232026078,
sales_data__socks,sales_data,30,smac,single,small-numeric,350,20,-4.25,0.0,0.0333,0.9648310287691924,20,0.7033794246161513,
systems__7z,systems,30,tie,single,small-numeric,68640,14,-2.68,0.0,0.1667,0.9126090296256874,14,1.2234735852403766,0.0008181240533188
systems__BDBC,systems,30,tie,single,binary/SAT,2560,16,-4.68,0.0,0.0333,0.8013695728168861,16,3.1780868349298226,
